"Estimate" "Std..Error" "t.value" "Pr...t.."
"(Intercept)" 4.99999999999997 0.248175025837508 20.1470715400417 7.82884261817948e-69
"DensityLow" 6.10973917613396e-15 0.3509724873817 1.74080288221832e-14 0.999999999999986
"Day" -3.45247954046804e-16 0.0272956136695655 -1.26484774523225e-14 0.99999999999999
"TreatD" -4.08095238095237 0.350972487381699 -11.6275563688676 3.08140909084998e-28
"TreatW" -3.37619047619051 0.3509724873817 -9.61953029816475 2.00870642542176e-20
"TreatW/2" -2.43333333333333 0.3509724873817 -6.93311704141344 1.10076740459355e-11
"TreatW/4" -0.949999999999998 0.350972487381699 -2.70676487233265 0.00699434672400129
"DensityLow:Day" 1.20628097432744e-17 0.0386018270447959 3.12493233267844e-16 1
"DensityLow:TreatD" 0.069047619047619 0.49635005167502 0.139110732062192 0.889410935764352
"DensityLow:TreatW" 0.421428571428612 0.496350051675021 0.849055157758978 0.396200897992646
"DensityLow:TreatW/2" 0.319047619047618 0.496350051675021 0.642787520563231 0.520615998350744
"DensityLow:TreatW/4" -0.56904761904762 0.49635005167502 -1.14646430906428 0.252075838406109
"Day:TreatD" 0.0767857142857144 0.0386018270447959 1.9891730564102 0.0471514051376457
"Day:TreatW" 0.155357142857147 0.0386018270447961 4.02460595134164 6.46379566441674e-05
"Day:TreatW/2" 0.14375 0.038601827044796 3.72391700095396 0.000215302973093332
"Day:TreatW/4" 0.0562500000000001 0.0386018270447959 1.45718491341677 0.14560652206912
"DensityLow:Day:TreatD" -0.0544642857142858 0.0545912273391309 -0.99767468820482 0.318853171478254
"DensityLow:Day:TreatW" -0.102678571428576 0.054591227339131 -1.88086211710751 0.0604914232574832
"DensityLow:Day:TreatW/2" -0.0669642857142857 0.0545912273391309 -1.2266492068092 0.220452188135717
"DensityLow:Day:TreatW/4" -0.00178571428571435 0.0545912273391309 -0.0327106455149133 0.973916587829347
