"Estimate" "Std..Error" "t.value" "Pr...t.."
"(Intercept)" -7.86426696961181e-15 0.288675134594813 -2.72426199113068e-14 0.999999999999978
"TreatD" 6.75 0.408248290463863 16.5340557637865 1.28237724997396e-16
"TreatW" 5.00000000000001 0.408248290463863 12.2474487139159 3.34508300501271e-13
"TreatW/2" 4.75000000000001 0.408248290463863 11.6350762782201 1.20236703503119e-12
"TreatW/4" 4.00000000000001 0.408248290463863 9.79795897113273 7.3438282846703e-11
"DensityLow" 2.80866677486136e-15 0.408248290463863 6.87980045591882e-15 0.999999999999995
"TreatD:DensityLow" -1.5 0.577350269189625 -2.59807621135332 0.0143926829854149
"TreatW:DensityLow" -0.999999999999999 0.577350269189626 -1.73205080756888 0.0935364703433235
"TreatW/2:DensityLow" -1.25000000000001 0.577350269189626 -2.16506350946111 0.0384645278545878
"TreatW/4:DensityLow" -0.750000000000004 0.577350269189626 -1.29903810567667 0.203826644697892
